Item_ID,Domain
Item001,1
Item002,1
Item003,1
Item004,1
Item005,1
Item006,1
Item007,1
Item008,2
Item009,4
Item010,1
Item011,1
Item012,1
Item013,2
Item014,4
Item015,4
Item016,2
Item017,2
Item018,4
Item019,4
Item020,4
Item021,2
Item022,2
Item023,4
Item024,4
Item025,4
Item026,2
Item027,2
Item028,4
Item029,4
Item030,4
Item031,2
Item032,4
Item033,2
Item034,2
Item035,4
Item036,2
Item037,4
Item038,4
Item039,2
Item040,4
Item041,2
Item042,2
Item043,2
Item044,4
Item045,4
Item046,4
Item047,4
Item048,4
Item049,4
Item050,2
Item051,2
Item052,4
Item053,2
Item054,2
Item055,4
Item056,4
Item057,2
Item058,2
Item059,2
Item060,2
Item061,2
Item062,2
Item063,2
Item064,2
Item065,2
Item066,2
Item067,2
Item068,2
Item069,2
Item070,2
Item071,2
Item072,2
Item073,2
Item074,2
Item075,2
Item076,4
Item077,4
Item078,3
Item079,3
Item080,3
Item081,3
Item082,4
Item083,3
Item084,3
Item085,3
Item086,3
Item087,3
Item088,3
Item089,3
Item090,3
Item091,3
Item092,3
Item093,4
Item094,3
Item095,3
Item096,3
Item097,3
Item098,3
Item099,3
Item100,3
