Item_ID,key
Item001,B
Item002,C
Item003,A
Item004,A
Item005,D
Item006,A
Item007,B
Item008,C
Item009,D
Item010,B
Item011,A
Item012,D
Item013,B
Item014,A
Item015,D
Item016,D
Item017,A
Item018,B
Item019,C
Item020,B
Item021,B
Item022,B
Item023,A
Item024,A
Item025,A
Item026,C
Item027,C
Item028,C
Item029,D
Item030,C
Item031,D
Item032,D
Item033,A
Item034,B
Item035,D
Item036,D
Item037,A
Item038,D
Item039,A
Item040,B
Item041,B
Item042,B
Item043,B
Item044,D
Item045,B
Item046,B
Item047,D
Item048,B
Item049,D
Item050,C
Item051,A
Item052,C
Item053,D
Item054,A
Item055,C
Item056,A
Item057,D
Item058,D
Item059,B
Item060,B
Item061,B
Item062,D
Item063,C
Item064,C
Item065,B
Item066,B
Item067,C
Item068,A
Item069,D
Item070,B
Item071,A
Item072,B
Item073,C
Item074,B
Item075,C
Item076,A
Item077,D
Item078,C
Item079,A
Item080,C
Item081,A
Item082,D
Item083,B
Item084,D
Item085,A
Item086,D
Item087,C
Item088,A
Item089,D
Item090,C
Item091,C
Item092,A
Item093,C
Item094,A
Item095,C
Item096,A
Item097,B
Item098,A
Item099,A
Item100,B
