RegistrationID,ItemName,Response
Cand001,Item001,C
Cand001,Item002,D
Cand001,Item003,C
Cand001,Item004,C
Cand001,Item005,D
Cand001,Item006,A
Cand001,Item007,C
Cand001,Item008,D
Cand001,Item009,D
Cand001,Item010,A
Cand001,Item011,B
Cand001,Item012,A
Cand001,Item013,D
Cand001,Item014,A
Cand001,Item015,D
Cand001,Item016,C
Cand001,Item017,C
Cand001,Item018,B
Cand001,Item019,C
Cand001,Item020,B
Cand001,Item021,B
Cand001,Item022,B
Cand001,Item023,D
Cand001,Item024,C
Cand001,Item025,C
Cand001,Item026,C
Cand001,Item027,A
Cand001,Item028,B
Cand001,Item029,D
Cand001,Item030,A
Cand001,Item031,D
Cand001,Item032,C
Cand001,Item033,B
Cand001,Item034,B
Cand001,Item035,D
Cand001,Item036,D
Cand001,Item037,A
Cand001,Item038,B
Cand001,Item039,A
Cand001,Item040,A
Cand001,Item041,B
Cand001,Item042,B
Cand001,Item043,B
Cand001,Item044,D
Cand001,Item045,B
Cand001,Item046,D
Cand001,Item047,D
Cand001,Item048,A
Cand001,Item049,D
Cand001,Item050,C
Cand001,Item051,C
Cand001,Item052,D
Cand001,Item053,D
Cand001,Item054,D
Cand001,Item055,D
Cand001,Item056,B
Cand001,Item057,D
Cand001,Item058,C
Cand001,Item059,B
Cand001,Item060,D
Cand001,Item061,D
Cand001,Item062,D
Cand001,Item063,C
Cand001,Item064,B
Cand001,Item065,B
Cand001,Item066,A
Cand001,Item067,A
Cand001,Item068,D
Cand001,Item069,A
Cand001,Item070,C
Cand001,Item071,D
Cand001,Item072,B
Cand001,Item073,D
Cand001,Item074,B
Cand001,Item075,C
Cand001,Item076,C
Cand001,Item077,D
Cand001,Item078,C
Cand001,Item079,B
Cand001,Item080,C
Cand001,Item081,A
Cand001,Item082,D
Cand001,Item083,B
Cand001,Item084,A
Cand001,Item085,D
Cand001,Item086,D
Cand001,Item087,A
Cand001,Item088,D
Cand001,Item089,A
Cand001,Item090,A
Cand001,Item091,C
Cand001,Item092,A
Cand001,Item093,C
Cand001,Item094,C
Cand001,Item095,C
Cand001,Item096,A
Cand001,Item097,B
Cand001,Item098,D
Cand001,Item099,D
Cand001,Item100,C
Cand002,Item001,C
Cand002,Item002,C
Cand002,Item003,A
Cand002,Item004,A
Cand002,Item005,B
Cand002,Item006,A
Cand002,Item007,B
Cand002,Item008,B
Cand002,Item009,D
Cand002,Item010,B
Cand002,Item011,A
Cand002,Item012,D
Cand002,Item013,B
Cand002,Item014,B
Cand002,Item015,D
Cand002,Item016,D
Cand002,Item017,A
Cand002,Item018,B
Cand002,Item019,B
Cand002,Item020,C
Cand002,Item021,B
Cand002,Item022,B
Cand002,Item023,A
Cand002,Item024,A
Cand002,Item025,C
Cand002,Item026,C
Cand002,Item027,C
Cand002,Item028,B
Cand002,Item029,D
Cand002,Item030,C
Cand002,Item031,D
Cand002,Item032,D
Cand002,Item033,D
Cand002,Item034,B
Cand002,Item035,A
Cand002,Item036,D
Cand002,Item037,A
Cand002,Item038,D
Cand002,Item039,A
Cand002,Item040,C
Cand002,Item041,B
Cand002,Item042,B
Cand002,Item043,B
Cand002,Item044,D
Cand002,Item045,B
Cand002,Item046,D
Cand002,Item047,D
Cand002,Item048,A
Cand002,Item049,D
Cand002,Item050,C
Cand002,Item051,A
Cand002,Item052,C
Cand002,Item053,D
Cand002,Item054,A
Cand002,Item055,C
Cand002,Item056,A
Cand002,Item057,D
Cand002,Item058,C
Cand002,Item059,C
Cand002,Item060,B
Cand002,Item061,B
Cand002,Item062,D
Cand002,Item063,C
Cand002,Item064,C
Cand002,Item065,B
Cand002,Item066,B
Cand002,Item067,C
Cand002,Item068,A
Cand002,Item069,D
Cand002,Item070,D
Cand002,Item071,A
Cand002,Item072,B
Cand002,Item073,D
Cand002,Item074,C
Cand002,Item075,C
Cand002,Item076,A
Cand002,Item077,C
Cand002,Item078,B
Cand002,Item079,A
Cand002,Item080,C
Cand002,Item081,C
Cand002,Item082,D
Cand002,Item083,B
Cand002,Item084,D
Cand002,Item085,A
Cand002,Item086,D
Cand002,Item087,C
Cand002,Item088,C
Cand002,Item089,C
Cand002,Item090,C
Cand002,Item091,D
Cand002,Item092,A
Cand002,Item093,C
Cand002,Item094,A
Cand002,Item095,C
Cand002,Item096,A
Cand002,Item097,B
Cand002,Item098,A
Cand002,Item099,D
